2024-08-09 09:57:37.235 +05:30 [WRN] Failed to determine the https port for redirect.
2024-08-09 09:57:38.455 +05:30 [INF] HTTP GET / responded 200 in 1233.3461 ms
2024-08-09 09:57:38.527 +05:30 [INF] HTTP GET /ProjectOnBoarding.styles.css responded 304 in 24.0168 ms
2024-08-09 09:57:53.083 +05:30 [INF] HTTP GET /Project responded 200 in 4455.2190 ms
2024-08-09 09:57:55.913 +05:30 [INF] HTTP GET /Project/Details/7 responded 200 in 895.7192 ms
2024-08-09 10:06:03.538 +05:30 [WRN] Failed to determine the https port for redirect.
2024-08-09 10:06:04.026 +05:30 [INF] HTTP GET / responded 200 in 491.8237 ms
2024-08-09 10:06:11.295 +05:30 [INF] HTTP GET /Project responded 200 in 3817.4838 ms
2024-08-09 10:06:14.120 +05:30 [INF] HTTP GET /Project/Details/7 responded 200 in 832.8468 ms
2024-08-09 10:06:30.865 +05:30 [INF] HTTP GET /Project/DocumentListPartial responded 200 in 16685.1656 ms
2024-08-09 10:06:46.438 +05:30 [INF] HTTP GET /Project responded 200 in 19.6674 ms
2024-08-09 10:06:49.882 +05:30 [INF] HTTP GET /Project/Details/5 responded 200 in 31.2358 ms
2024-08-09 10:06:52.424 +05:30 [INF] HTTP GET /Project/DocumentListPartial responded 200 in 2503.3765 ms
2024-08-09 10:07:14.884 +05:30 [INF] HTTP GET /Project responded 200 in 20.0022 ms
2024-08-09 10:08:07.993 +05:30 [WRN] Failed to determine the https port for redirect.
2024-08-09 10:08:08.447 +05:30 [INF] HTTP GET / responded 200 in 459.5629 ms
2024-08-09 10:08:14.414 +05:30 [INF] HTTP GET /Project responded 200 in 3027.8669 ms
2024-08-09 10:08:23.176 +05:30 [INF] HTTP GET /Project/Details/5 responded 200 in 703.3909 ms
2024-08-09 10:08:27.345 +05:30 [INF] HTTP GET /Project/DocumentListPartial responded 200 in 4125.7594 ms
2024-08-09 10:22:18.949 +05:30 [WRN] Failed to determine the https port for redirect.
2024-08-09 10:22:19.415 +05:30 [INF] HTTP GET / responded 200 in 468.9071 ms
2024-08-09 10:22:27.744 +05:30 [INF] HTTP GET /Project responded 200 in 3254.7813 ms
2024-08-09 10:22:30.297 +05:30 [INF] HTTP GET /Project/Details/7 responded 200 in 716.0633 ms
2024-08-09 10:22:32.481 +05:30 [INF] HTTP GET /Project/DocumentListPartial responded 200 in 2143.1766 ms
2024-08-09 10:24:38.427 +05:30 [INF] HTTP GET /Project responded 200 in 23.2621 ms
2024-08-09 10:24:40.367 +05:30 [INF] HTTP GET /Project/Details/5 responded 200 in 23.8047 ms
2024-08-09 10:24:43.737 +05:30 [INF] HTTP GET /Project/DocumentListPartial responded 200 in 3330.4304 ms
2024-08-09 10:24:44.787 +05:30 [INF] HTTP GET /Project/Details/5 responded 200 in 16.7924 ms
2024-08-09 10:24:49.209 +05:30 [INF] HTTP GET /Project/DocumentListPartial responded 200 in 4355.2827 ms
2024-08-09 10:25:11.076 +05:30 [INF] HTTP GET /Project responded 200 in 29.2857 ms
2024-08-09 10:25:12.949 +05:30 [INF] HTTP GET /Project/Details/7 responded 200 in 28.3173 ms
2024-08-09 10:25:24.819 +05:30 [INF] HTTP GET /Project/DocumentListPartial responded 200 in 11834.6697 ms
2024-08-09 10:27:59.992 +05:30 [INF] HTTP GET /Project responded 200 in 6.9599 ms
2024-08-09 10:28:01.807 +05:30 [INF] HTTP GET /Project/Details/7 responded 200 in 10.9775 ms
2024-08-09 10:28:01.852 +05:30 [INF] HTTP GET /Project/DocumentListPartial responded 200 in 7.3203 ms
2024-08-09 10:28:09.457 +05:30 [INF] HTTP GET /Project/Details/7 responded 200 in 30.6646 ms
2024-08-09 10:28:09.556 +05:30 [INF] HTTP GET /Project/DocumentListPartial responded 200 in 26.9256 ms
2024-08-09 10:28:13.658 +05:30 [INF] HTTP GET /Project responded 200 in 19.6860 ms
2024-08-09 10:28:15.018 +05:30 [INF] HTTP GET /Project/Details/7 responded 200 in 7.9782 ms
